,discount,consumption_total,market_price,availability_service,availability_discounts,holiday,temperature_hist,forecast_total,discount_category,hour,weekday
2024-03-01 00:00:00+00:00,0.0,4.846416666666667,0.5,1,1,0,8.372,,0,0,4
2024-03-01 01:00:00+00:00,0.0,0.0,0.2000000029802322,1,1,0,7.8719997,,0,1,4
2024-03-01 02:00:00+00:00,0.0,0.0,0.1000000014901161,1,1,0,8.572,,0,2,4
2024-03-01 03:00:00+00:00,0.0,0.0,0.0099999997764825,1,1,0,9.472,,0,3,4
2024-03-01 04:00:00+00:00,0.0,0.0,0.5,1,1,0,9.372,,0,4,4
2024-03-01 05:00:00+00:00,0.0,0.0,3.0,1,1,0,9.172,,0,5,4
2024-03-01 06:00:00+00:00,0.0,2.103,3.25,1,1,0,9.922,1.0,0,6,4
2024-03-01 07:00:00+00:00,0.0,0.0,3.25,1,1,0,9.772,3.0,0,7,4
2024-03-01 08:00:00+00:00,0.0,15.376295008333331,3.200000047683716,1,1,0,11.222,13.0,0,8,4
2024-03-01 09:00:00+00:00,0.05,37.6241642,0.0,1,1,0,11.622,14.0,1,9,4
2024-03-01 10:00:00+00:00,0.0,119.30332077833332,0.0,1,1,0,12.472,15.0,0,10,4
2024-03-01 11:00:00+00:00,0.0,120.33524593141668,0.0,1,1,0,11.972,15.0,0,11,4
2024-03-01 12:00:00+00:00,0.0,92.24346071333332,0.0,1,1,0,12.772,16.0,0,12,4
2024-03-01 13:00:00+00:00,0.0,147.77452649666665,0.0,1,1,0,11.772,15.0,0,13,4
2024-03-01 14:00:00+00:00,0.5,207.3078560333333,0.0,1,1,0,11.672,16.0,3,14,4
2024-03-01 15:00:00+00:00,0.0,182.48862394166665,0.0,1,1,0,11.922,10.0,0,15,4
2024-03-01 16:00:00+00:00,0.0,105.97085006166668,0.8399999737739563,1,1,0,11.672,15.0,0,16,4
2024-03-01 17:00:00+00:00,0.0,97.202250735,3.25,1,1,0,12.072,13.0,0,17,4
2024-03-01 18:00:00+00:00,0.0,86.12534232333333,5.679999828338623,1,1,0,11.972,15.0,0,18,4
2024-03-01 19:00:00+00:00,0.0,137.18963627666668,10.100000381469728,1,1,0,11.272,14.0,0,19,4
2024-03-01 20:00:00+00:00,0.0,177.707909845,6.480000019073486,1,1,0,11.222,16.0,0,20,4
2024-03-01 21:00:00+00:00,0.0,167.39702164833335,5.0,1,1,0,11.072,14.0,0,21,4
2024-03-01 22:00:00+00:00,0.0,147.40018547166667,3.799999952316284,1,1,0,10.772,9.0,0,22,4
2024-03-01 23:00:00+00:00,0.0,29.871630521666663,,1,1,0,10.622,9.0,0,23,4
2024-03-02 00:00:00+00:00,0.0,2.8003261666666663,2.0,1,1,0,10.572,,0,0,5
2024-03-02 01:00:00+00:00,0.0,0.0,0.5,1,1,0,10.822,,0,1,5
2024-03-02 02:00:00+00:00,0.0,0.0,0.0099999997764825,1,1,0,11.272,,0,2,5
2024-03-02 03:00:00+00:00,0.0,0.0,0.0099999997764825,1,1,0,12.022,,0,3,5
2024-03-02 04:00:00+00:00,0.0,0.0,0.0,1,1,0,10.872,,0,4,5
2024-03-02 05:00:00+00:00,0.0,0.0,0.1000000014901161,1,1,0,10.722,,0,5,5
2024-03-02 06:00:00+00:00,0.0,0.0,2.0999999046325684,1,1,0,10.822,1.0,0,6,5
2024-03-02 07:00:00+00:00,0.0,0.0,2.1700000762939453,1,1,0,11.272,1.0,0,7,5
2024-03-02 08:00:00+00:00,0.0,3.95745,2.049999952316284,1,1,0,11.722,3.0,0,8,5
2024-03-02 09:00:00+00:00,0.0,48.152767525,1.6799999475479126,1,1,0,11.522,5.0,0,9,5
2024-03-02 10:00:00+00:00,0.0,37.481792995,0.0099999997764825,1,1,0,11.322,10.0,0,10,5
2024-03-02 11:00:00+00:00,0.0,119.41787072833334,0.0,1,1,0,11.222,13.0,0,11,5
2024-03-02 12:00:00+00:00,0.0,126.00448166833333,0.0099999997764825,1,1,0,10.022,14.0,0,12,5
2024-03-02 13:00:00+00:00,0.0,168.27466518833336,0.0099999997764825,1,1,0,9.722,15.0,0,13,5
2024-03-02 14:00:00+00:00,0.25,194.0384127583333,0.0099999997764825,1,1,0,9.972,15.0,2,14,5
2024-03-02 15:00:00+00:00,0.0,184.63692815833332,1.0199999809265137,1,1,0,9.572,17.0,0,15,5
